Federal Provider Number,longest_streak
056017,0
056019,0
056021,0
056023,0
056024,0
056026,0
056031,0
056035,0
056037,0
056039,0
056040,0
056042,0
056043,0
056048,0
056052,0
056053,0
056055,0
056056,0
056058,0
056062,0
056063,0
056065,0
056066,0
056069,0
056071,0
056072,0
056073,0
056074,0
056076,0
056077,0
056078,0
056079,0
056080,0
056082,0
056083,0
056084,0
056086,0
056090,0
056092,0
056095,0
056096,0
056098,0
056100,0
056101,0
056103,0
056104,0
056105,0
056107,0
056109,0
056110,0
056111,0
056113,0
056114,0
056115,0
056116,0
056117,0
056118,0
056120,0
056121,0
056122,0
056124,0
056125,0
056127,0
056129,0
056132,0
056133,0
056136,0
056137,0
056139,0
056143,0
056144,0
056145,0
056148,0
056149,0
056150,0
056151,0
056153,0
056155,0
056157,0
056158,0
056159,0
056162,0
056164,0
056166,0
056167,0
056168,0
056169,0
056170,0
056174,0
056176,0
056177,0
056178,0
056180,0
056182,0
056183,0
056185,0
056186,0
056188,0
056189,0
056190,0
056192,0
056194,0
056195,0
056198,0
056200,0
056201,0
056203,0
056205,0
056206,0
056207,0
056212,0
056213,0
056214,0
056215,0
056216,0
056218,0
056220,0
056222,0
056225,0
056228,0
056229,0
056231,0
056234,0
056237,0
056238,0
056242,0
056243,0
056244,0
056245,0
056250,0
056253,0
056258,0
056259,0
056260,0
056261,0
056266,0
056267,0
056271,0
056272,0
056274,0
056279,0
056280,0
056281,0
056283,0
056286,0
056288,0
056291,0
056293,0
056294,0
056296,0
056298,0
056300,0
056301,0
056304,0
056308,0
056311,0
056313,0
056315,0
056316,0
056317,0
056321,0
056322,0
056324,0
056325,0
056326,0
056327,0
056328,0
056330,0
056331,0
056333,0
056334,0
056337,0
056338,0
056345,0
056346,0
056348,0
056350,0
056351,0
056353,0
056359,0
056360,0
056361,0
056362,0
056363,0
056364,0
056365,0
056367,0
056370,0
056372,0
056376,0
056377,0
056378,0
056379,0
056380,0
056381,0
056382,0
056388,0
056389,0
056391,0
056392,0
056394,0
056399,0
056401,0
056405,0
056407,0
056410,0
056411,0
056412,0
056413,0
056415,0
056416,0
056417,0
056422,0
056423,0
056425,0
056426,0
056428,0
056429,0
056430,0
056431,0
056433,0
056435,0
056436,0
056437,0
056438,0
056443,0
056444,0
056446,0
056447,0
056449,0
056451,0
056456,0
056457,0
056458,0
056463,0
056466,0
056471,0
056475,0
056476,0
056477,0
056478,0
056479,0
056483,0
056485,0
056487,0
056488,0
056489,0
056495,0
056496,0
056499,0
05A021,0
05A024,0
05A027,0
05A109,0
05A110,0
05A134,0
05A137,0
05A147,0
05A164,0
05A183,0
05A192,0
05A208,0
05A263,0
05A264,0
05A269,0
05A277,0
05A290,0
05A292,0
05A315,0
05A331,0
05A340,0
05A355,0
05A357,0
05A360,0
05A364,0
05A371,0
05A396,0
05A397,0
05A408,0
05A427,0
065001,0
065009,0
065015,0
065034,0
065052,0
065077,0
065092,0
065095,0
065097,0
065100,0
065108,0
065110,0
065113,0
065119,0
065120,0
065121,0
065124,0
065129,0
065139,0
065142,0
065144,0
065146,0
065147,0
065150,0
065152,0
065153,0
065163,0
065165,0
065166,0
065168,0
065169,0
065170,0
065171,0
065172,0
065174,0
065175,0
065176,0
065179,0
065181,0
065183,0
065187,0
065188,0
065189,0
065191,0
065192,0
065193,0
065195,0
065196,0
065198,0
065202,0
065203,0
065206,0
065208,0
065209,0
065211,0
065212,0
065213,0
065217,0
065219,0
065220,0
065221,0
065222,0
065223,0
065225,0
065226,0
065227,0
065228,0
065229,0
065230,0
065231,0
065232,0
065233,0
065234,0
065235,0
065237,0
065238,0
065239,0
065240,0
065241,0
065242,0
065243,0
065244,0
065245,0
065247,0
065248,0
065249,0
065250,0
065251,0
065252,0
065253,0
065254,0
